,Vectors,DOIs,Topics
10,"[-0.0731902   0.00498202  0.13426596 -0.08132254 -0.05609521 -0.03773692
 -0.01096104 -0.07465166 -0.38609502 -0.04727032  0.19862852  0.01789466
 -0.08492748 -0.05825088 -0.03295506 -0.0802334   0.10951063  0.13946326
 -0.26802436  0.24013035 -0.00104119 -0.00707509 -0.17651677  0.21930438
  0.19201243  0.22262648 -0.01219427  0.28071225  0.25688425 -0.2563976 ]",10.4155/fmc.09.49,"['Computer-Aided Design', 'DNA', 'Drug Discovery', 'High-Throughput Screening Assays', 'Interdisciplinary Communication', 'Models, Biological', 'Pharmacology', 'Proteins', 'Systems Biology']"
11,"[ 0.5637016   0.66619796  0.334383   -0.5265456  -0.7869015   0.8970495
  0.9438714   0.8749601  -2.0567982   0.09335963  1.103269    0.5065772
 -0.88508797 -0.6245313  -1.1916087  -1.0191357   0.16107476 -0.62502575
 -1.6876847   1.3387802   0.56706727 -0.3598655   0.09694346  0.6147676
  0.6397348   1.9182091   0.32517752  0.687214    0.07497162 -1.2158687 ]",10.1007/s00221-010-2266-7,"['Acetylcholine', 'Acetylcholinesterase', 'Animals', 'CA1 Region, Hippocampal', 'CA3 Region, Hippocampal', 'Cerebral Cortex', 'Cholinesterase Inhibitors', 'Galantamine', 'Hypoxia', 'Learning Disabilities', 'Maze Learning', 'Nootropic Agents', 'Physostigmine', 'RNA, Messenger', 'Rats', 'Rats, Sprague-Dawley', 'Space Perception']"
12,"[ 0.161269    0.31299984  0.16199636 -0.29141358 -0.46031305  0.55015314
  0.50869197  0.37377483 -1.6360064   0.11443786  1.1044731   0.16662012
 -0.56627667 -0.34273416 -0.539018   -0.706471    0.64250946 -0.1767137
 -1.1724242   0.7265086   0.24512582 -0.18650785 -0.23943599  0.5543315
  0.73346955  1.5709252   0.03762751  0.7003727   0.35626006 -0.94850796]",10.1002/mrm.22759,"['Biopsy', 'Breast Neoplasms', 'Equipment Design', 'Female', 'Humans', 'Magnetic Resonance Imaging, Interventional', 'Radio Waves']"
13,"[ 0.20033284  0.3085655   0.1480897  -0.5073281  -0.74580586  0.46300668
  0.34626964  0.509606   -1.3481095   0.08650988  1.0542598   0.37251
 -0.39112005 -0.19582817 -0.6199501  -0.36885756  0.5820437  -0.14776379
 -0.9758363   0.56482273  0.4175886  -0.39279464  0.06357673  0.5815308
  0.6736505   1.6401132   0.05138593  0.6285529   0.16175704 -0.65650517]",10.3138/jvme.38.1.5,"['Animals', 'Cooperative Behavior', 'Education, Veterinary', 'Electronic Health Records', 'Humans', 'Interdepartmental Relations', 'Interdisciplinary Communication', 'Internet', 'Medical Informatics Applications', 'Minnesota', 'Organizational Case Studies', 'Schools, Medical', 'Schools, Veterinary', 'Veterinary Medicine']"
14,"[ 0.1600616   0.22842367  0.23986758 -0.35781005 -0.34715837  0.19259772
  0.2051321   0.26302278 -0.99614614 -0.00481605  0.6910249   0.2593223
 -0.252731   -0.17066272 -0.271696   -0.20746794  0.34753633 -0.02806024
 -0.7931331   0.50414824  0.12907024 -0.17220798 -0.2186367   0.3222868
  0.3864281   0.98952395  0.07955326  0.44043115  0.2910792  -0.58175665]",10.1017/S003329171100119X,"['Adult', 'Female', 'Functional Neuroimaging', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Memory, Short-Term', 'Middle Aged', 'Neostriatum', 'Prefrontal Cortex', 'Schizophrenia']"
15,"[-0.04497342 -0.00588503  0.13941278 -0.05392287 -0.01509035 -0.02618483
  0.01572047 -0.05807074 -0.26313838 -0.028413    0.09894177  0.01735087
 -0.03630584 -0.04671083 -0.0384534  -0.06400029  0.05794439  0.10716783
 -0.1770476   0.19173695 -0.00993697  0.02190198 -0.14119644  0.15177359
  0.10627182  0.14414144  0.01764572  0.18266849  0.17564595 -0.1744481 ]",10.1016/j.ophtha.2011.04.025,"['Blindness', 'China', 'Delivery of Health Care', 'Diagnostic Tests, Routine', 'Health Care Reform', 'Health Policy', 'Humans', 'Preoperative Care', 'United States']"
16,"[-0.41814572  0.12627397 -0.01023559 -0.93485683 -0.98022634  0.28261662
 -0.72136986 -0.42204103 -1.8225459   0.75916934  1.5129247   0.1961869
 -0.24780947 -0.9747152  -0.72107625 -1.1280533   0.19721104  0.45554963
 -1.7628195   0.49824977  0.25722447 -1.195611   -0.5446804   0.90478814
  2.01067     1.8914129  -0.64125764  1.1936542   0.70215875 -1.0040798 ]",10.4269/ajtmh.2010.10-0527,"['Bioethical Issues', 'Cultural Characteristics', 'Curriculum', 'Delivery of Health Care', 'Education, Professional', 'Ethics, Medical', 'Global Health', 'Humans', 'International Educational Exchange', 'Practice Guidelines as Topic', 'Public Health']"
17,"[ 0.0269142   0.18191521  0.2058673  -0.19753882 -0.169598    0.16503043
  0.22509879  0.20515105 -0.7048824  -0.02430979  0.42383906  0.09195884
 -0.25582352 -0.21284492 -0.26448712 -0.24451582  0.17864744 -0.00680079
 -0.5781655   0.34998953  0.18239295 -0.09750497 -0.09178597  0.30965942
  0.32095796  0.645419    0.08783241  0.3344573   0.20201546 -0.3925023 ]",10.1016/j.ijporl.2011.06.012,"['Adenoidectomy', 'Adenoids', 'Adolescent', 'Age Distribution', 'Biopsy, Needle', 'Child', 'Child, Preschool', 'Cohort Studies', 'Epstein-Barr Virus Infections', 'Female', 'Herpesvirus 4, Human', 'Humans', 'Immunohistochemistry', 'In Situ Hybridization', 'Infant', 'Male', 'Prevalence', 'Retrospective Studies', 'Severity of Illness Index', 'Sex Distribution', 'Tonsillectomy', 'Tonsillitis', 'United Arab Emirates', 'Young Adult']"
18,"[ 0.15255962  0.2444975   0.22262739 -0.41934636 -0.42026463  0.3462801
  0.40689623  0.34497175 -1.1391889   0.06946239  0.778022    0.19534127
 -0.23641504 -0.2601878  -0.39665526 -0.28933328  0.37375468 -0.09919445
 -0.81209695  0.4603739   0.28243244 -0.20691371 -0.17476337  0.4440618
  0.47946304  1.176331    0.10407838  0.5081626   0.24131788 -0.53567576]",10.1002/ppul.23004,"['Absorptiometry, Photon', 'Adolescent', 'Body Fat Distribution', 'Body Mass Index', 'Child', 'Humans', 'Linear Models', 'Male', 'Muscular Dystrophy, Duchenne', 'Obesity, Abdominal', 'Retrospective Studies', 'Torso', 'Vital Capacity', 'Young Adult']"
19,"[ 0.13440233  0.11413827  0.15715246 -0.23349857 -0.13336267  0.17122805
  0.2508302   0.14695014 -0.85426044  0.06956162  0.46360454 -0.01174136
 -0.13008839 -0.09811405 -0.14563107 -0.11750662  0.23604214  0.10609971
 -0.6085217   0.3867446   0.0909826  -0.24152072 -0.20588426  0.3323237
  0.22526675  0.6609835   0.05073303  0.41192055  0.20086344 -0.42539656]",10.1016/j.psym.2013.12.015,"['Depression', 'Diabetes Complications', 'Diabetes Mellitus, Type 2', 'Disabled Persons', 'Female', 'Humans', 'Male', 'Middle Aged', 'Psychiatric Status Rating Scales', 'Risk Factors', 'Schizophrenia']"
20,"[-0.13628018 -0.0118866   0.39045933 -0.479575   -0.29918778  0.12921563
  0.16555275  0.18603808 -0.99983305  0.12680505  0.7286889   0.2495737
  0.0064736  -0.10787437 -0.21369064 -0.02082945  0.471899    0.0887688
 -0.7621498   0.41266116 -0.08006496 -0.05615558 -0.04885247  0.6630657
  0.1740979   1.0135978   0.08375522  0.5595666   0.3261796  -0.4686583 ]",10.1007/s00134-013-3136-0,"['Adult', 'Aged', 'Cognitive Behavioral Therapy', 'Cognitive Dysfunction', 'Critical Illness', 'Exercise Therapy', 'Feasibility Studies', 'Female', 'Humans', 'Intensive Care Units', 'Male', 'Middle Aged', 'Occupational Therapy', 'Pilot Projects', 'Quality of Life', 'Surveys and Questionnaires', 'Treatment Outcome']"
21,"[ 0.10806564  0.06445978  0.26052657 -0.26094997 -0.22679675  0.1059886
  0.2634256   0.15828116 -0.986868    0.09210858  0.6113985   0.05105351
 -0.16562177 -0.16760367 -0.23925681 -0.21055499  0.35526097  0.11399429
 -0.7294768   0.40628898  0.08341549 -0.1919944  -0.20599033  0.44183818
  0.35876513  0.8999593   0.025625    0.5163378   0.2610115  -0.5400315 ]",10.1097/MED.0b013e32835edbb0,"['Bariatric Surgery', 'Blood Glucose', 'Diabetes Mellitus, Type 2', 'Follow-Up Studies', 'Hyperinsulinism', 'Hypoglycemia', 'Intestinal Absorption', 'Obesity, Morbid', 'Outcome Assessment, Health Care', 'Patient Selection', 'Postoperative Complications', 'Pulmonary Embolism', 'Randomized Controlled Trials as Topic', 'Remission Induction', 'Sepsis', 'Treatment Outcome', 'Weight Loss']"
22,"[ 0.08067791  0.314877    0.4853958  -1.0091245  -1.0838543   0.5931416
  0.37869516  0.7022898  -1.6394014   0.11058261  1.7794781   0.6400767
  0.02849657 -0.0046688  -0.29151896  0.05920083  1.1412091  -0.21839973
 -1.3983263   0.6523036   0.09964775 -0.2508105   0.3678908   1.0069854
  0.49935484  2.6383     -0.02900564  0.92911017  0.09282545 -0.7827895 ]",10.2522/ptj.20110117,"['Algorithms', 'Bed Rest', 'Disability Evaluation', 'Electrodiagnosis', 'Humans', 'Intensive Care Units', 'Mobility Limitation', 'Muscle Fatigue', 'Muscle Weakness', 'Muscular Atrophy', 'Physical Therapy Modalities', 'Polyneuropathies', 'Prognosis', 'Quality of Life', 'Respiration, Artificial', 'Respiratory Muscles']"
23,"[ 1.89521164e-01  3.16351920e-01  1.56708241e-01 -5.09697437e-01
 -4.56525356e-01  3.93538415e-01  4.66019750e-01  4.56751823e-01
 -1.35121453e+00  1.88721076e-01  1.07621205e+00  2.72613704e-01
 -2.00322986e-01 -2.28447318e-01 -6.47646129e-01 -3.27099174e-01
  5.96206903e-01 -1.19276106e-01 -8.20493817e-01  6.70053899e-01
  3.90627384e-01 -2.38314122e-01 -1.15173265e-01  3.87862682e-01
  6.62883759e-01  1.30871630e+00 -4.15853923e-04  5.90196729e-01
  1.02766551e-01 -7.44576037e-01]",10.1111/j.1528-1167.2012.03515.x,"['Child', 'Child Behavior Disorders', 'Child, Preschool', 'Epilepsy', 'Female', 'Humans', 'Male', 'Parent-Child Relations', 'Pediatrics', 'Retrospective Studies', 'Severity of Illness Index', 'Sleep Wake Disorders', 'Surveys and Questionnaires']"
24,"[ 0.02024212  0.14275543  0.2763985  -0.32087275 -0.2961723   0.19395337
  0.22643274  0.20012836 -1.0781922  -0.03276802  0.75898373  0.18536215
 -0.32024536 -0.2572556  -0.35574776 -0.24118309  0.4030185  -0.05190643
 -0.8036767   0.5149591   0.18014422 -0.14606164 -0.1995575   0.49405876
  0.5945232   0.9722176   0.04554795  0.5160443   0.32355747 -0.6072388 ]",10.1161/CIRCULATIONAHA.112.127639,"['Aged', 'Aged, 80 and over', 'Canada', 'Cohort Studies', 'Coronary Artery Bypass', 'Coronary Artery Disease', 'Echocardiography', 'Female', 'Follow-Up Studies', 'Humans', 'Hypertension, Pulmonary', 'Male', 'Middle Aged', 'Morbidity', 'Predictive Value of Tests', 'Preoperative Care', 'Prognosis', 'Retrospective Studies', 'Risk Factors', 'Survival Rate', 'United States', 'Ventricular Dysfunction, Right']"
25,"[ 0.0761152   0.12050527  0.2285912  -0.19584577 -0.09825988  0.14783089
  0.24353391  0.12421234 -0.7714614   0.02833061  0.41584224 -0.02837212
 -0.2033808  -0.22876139 -0.16787145 -0.2681943   0.15979837  0.04188687
 -0.60218346  0.38582563  0.11836945 -0.11021069 -0.17745045  0.30761173
  0.23650223  0.64239335  0.11611604  0.37847346  0.24202865 -0.4145889 ]",10.1016/j.jpeds.2011.06.028,"['Adipose Tissue, Brown', 'Adolescent', 'Adult', 'Age Factors', 'Child', 'Child, Preschool', 'Female', 'Fluorodeoxyglucose F18', 'Humans', 'Infant', 'Male', 'Positron-Emission Tomography', 'Radiopharmaceuticals', 'Young Adult']"
26,"[ 0.43877584  0.96479595  0.24042904 -0.7779314  -1.0009059   0.946059
  0.77144355  1.0459391  -1.7956815   0.22083947  1.4426284   0.7119047
 -0.5798199  -0.48110726 -0.7062482  -0.8414643   0.97689813 -0.43712905
 -1.1550319   0.98566264  0.791958   -0.87607586 -0.00370632  0.6077425
  0.9704407   2.4733548   0.06417977  0.5563751  -0.040147   -0.99263924]",10.1124/dmd.111.041012,"['ATP-Binding Cassette Transporters', 'Disease Progression', 'Fatty Liver', 'Humans', 'Multidrug Resistance-Associated Protein 2', 'Non-alcoholic Fatty Liver Disease']"
27,"[ 0.28407922  0.45195344  0.29496586 -0.5711546  -0.7110822   0.6093985
  0.42273974  0.6227474  -1.48822     0.09991911  1.2347292   0.43460625
 -0.54312515 -0.3301037  -0.69643843 -0.46963263  0.5534532  -0.26152417
 -1.1712372   0.6780894   0.43023542 -0.29894316 -0.22730245  0.5474471
  0.81585306  1.7386233   0.1376064   0.5897475   0.33525032 -0.8244912 ]",10.1109/EMBC.2012.6345890,"['Dielectric Spectroscopy', 'Head', 'Humans', 'Intracranial Hemorrhages', 'Stochastic Processes', 'Stroke']"
28,"[ 0.37971294  1.2582396  -0.3472703  -0.33643755 -0.7921573   1.7924747
  1.0185903   0.8904739  -2.5760987   1.169113    1.4955721   0.02343688
 -0.4935546  -1.0291826  -0.754187   -0.4988572   0.5690282  -0.36424616
 -1.2080239   0.7571547   0.83912826 -0.6733941  -1.0462234   1.0337963
  1.2374166   2.167608   -0.04713341  0.89059824  0.12451643 -1.4111161 ]",10.1038/labinvest.2012.55,"['Administration, Inhalation', 'Animals', 'Bronchoalveolar Lavage Fluid', 'Carbon Monoxide', 'Cytokines', 'Disease Models, Animal', 'Humans', 'Lung', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Neutrophils', 'Respiration, Artificial', 'Respiratory Distress Syndrome', 'Tidal Volume', 'Time Factors', 'Ventilator-Induced Lung Injury']"
29,"[ 9.8064961e-03  1.3147469e-01  2.5196287e-01 -3.1725493e-01
 -1.6160169e-01  1.1327265e-01  2.1262872e-01  7.5940266e-02
 -8.5831153e-01 -4.0105628e-03  4.1444349e-01 -7.7164493e-04
 -1.3458303e-01 -1.4913315e-01 -1.5701970e-01 -1.3141356e-01
  2.4899054e-01  9.7027995e-02 -6.4786345e-01  4.2526010e-01
  1.0698385e-01 -6.5726466e-02 -2.4277419e-01  3.3019745e-01
  3.0933669e-01  6.6285199e-01  1.5849669e-02  5.2074564e-01
  3.1399292e-01 -4.7659108e-01]",10.1097/RHU.0b013e318247bb0d,"['Aged', 'Airway Management', 'Anesthesia', 'Arthritis, Rheumatoid', 'Cervical Vertebrae', 'Decision Support Techniques', 'Female', 'Fiber Optic Technology', 'Humans', 'Joint Instability', 'Male', 'Middle Aged', 'Monitoring, Intraoperative', 'Orthopedic Procedures', 'Outcome and Process Assessment, Health Care', 'Preoperative Care', 'Radiography', 'Retrospective Studies', 'Risk Assessment']"
30,"[-0.03095807  0.02519863  0.2389023  -0.21503614 -0.19556153  0.05267045
  0.12916234  0.03298153 -0.71184474 -0.02058567  0.40403545  0.13371024
 -0.1440361  -0.1179078  -0.12531148 -0.13661796  0.25657764  0.14119785
 -0.4901803   0.3297351   0.05622153 -0.02127529 -0.17815033  0.3784534
  0.33964434  0.56874186 -0.02522632  0.35676962  0.3036339  -0.4019684 ]",10.1007/s12028-012-9785-y,"['Decision Support Techniques', 'Disease Management', 'Glasgow Outcome Scale', 'Humans', 'Quality of Life', 'Risk Assessment', 'Severity of Illness Index', 'Status Epilepticus']"
31,"[ 0.16696435  0.27969855  0.46137348 -0.26734447 -0.30563882  0.25339773
  0.55554473  0.30067602 -1.4473532  -0.0878837   0.76839685  0.02535689
 -0.46774164 -0.33833033 -0.4295873  -0.4867751   0.4275209   0.07308894
 -1.1603955   0.69434386  0.3658709  -0.20133443 -0.28942972  0.6106823
  0.38807333  1.2777568   0.17449261  0.75962585  0.38325125 -0.792146  ]",10.2967/jnumed.112.107995,"['Adult', 'Brain', 'Female', 'Fluorine Radioisotopes', 'Humans', 'Image Interpretation, Computer-Assisted', 'Male', 'Models, Biological', 'Nitriles', 'Pilot Projects', 'Positron-Emission Tomography', 'Pyridines', 'Radiation Dosage', 'Radiopharmaceuticals', 'Receptor, Metabotropic Glutamate 5', 'Receptors, Metabotropic Glutamate', 'Tissue Distribution', 'Whole Body Imaging']"
32,"[-0.01229716  0.05834763  0.43727347 -0.4963731  -0.2812923   0.13079403
  0.22390369  0.3319723  -0.731774    0.01598265  0.5966635   0.15180859
 -0.07280578 -0.11885878 -0.12445692  0.00422906  0.5044256  -0.01971372
 -0.6759548   0.25862187  0.10615439 -0.02533545  0.09187308  0.5974879
  0.09754403  0.94785297  0.06605726  0.5599714   0.16857722 -0.36134237]",10.2522/ptj.20110417,"['Adult', 'Burns', 'Critical Care', 'Early Ambulation', 'Female', 'Humans', 'Intensive Care Units', 'Length of Stay', 'Male', 'Middle Aged', 'Physical Therapy Modalities', 'Proportional Hazards Models', 'Respiration, Artificial', 'Retrospective Studies', 'Treatment Outcome', 'Wounds and Injuries']"
33,"[ 0.66450787  0.3645258   0.84854424 -0.4372545  -0.45875233  0.83081895
  0.47037768  0.41739205 -2.1773248   0.24461332  1.3042022  -0.5586206
  0.18059711 -0.28441054 -0.8305382   0.32106498  1.0015107  -0.24402049
 -1.5434809   0.92549944  0.33900526 -0.8500926  -0.0862485   0.53816557
 -0.19563138  1.9377863  -0.25519797  1.2772473  -0.07866143 -0.71799225]",10.1111/bjh.12177,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Analgesics', 'Bone Diseases, Metabolic', 'Child', 'Chronic Pain', 'Female', 'Fractures, Spontaneous', 'Hemoglobins', 'Humans', 'Iron', 'Iron Chelating Agents', 'Iron Overload', 'Male', 'Middle Aged', 'Pain', 'Pain Measurement', 'Prospective Studies', 'Quality of Life', 'Risk Factors', 'Thalassemia', 'Transfusion Reaction', 'Young Adult', 'alpha-Thalassemia']"
34,"[ 0.6500923   0.6780976   0.01595901 -0.91403174 -0.63314044  0.94880915
  0.9012144   1.1102091  -2.328535   -0.00636576  1.1665963   0.49825346
 -1.0385194  -1.100107   -1.2111071  -0.5806902   0.34292978 -0.6832521
 -1.4911165   0.89753914  0.86973774 -0.817105   -0.34979022  0.5881788
  1.2549965   1.6940383   0.82380784  0.37701505  0.58120877 -1.0355829 ]",10.2334/josnusd.56.157,"['Dental Pulp', 'Fibroblasts', 'Gingiva', 'Humans', 'In Vitro Techniques', 'MicroRNAs', 'Oligonucleotide Array Sequence Analysis', 'Periodontal Ligament']"
35,"[ 0.44126108  0.4447412   0.43575197 -0.6394397  -0.69489247  1.1055331
  0.62044656  0.55091035 -1.6802906   0.10968456  1.3565338   0.46151972
 -0.1758749  -0.52841485 -0.61844754 -0.42782205  0.6038211  -0.38846403
 -1.3732285   0.8793084   0.33504266 -0.34116483  0.32428464  0.5861085
  0.40875557  1.985538    0.12466536  0.5832974  -0.16727528 -0.75514114]",10.1123/japa.2012-0283,"['Accelerometry', 'Activities of Daily Living', 'Aged', 'Aged, 80 and over', 'Female', 'Housing for the Elderly', 'Humans', 'Leisure Activities', 'Middle Aged', 'Motor Activity', 'Physical Fitness', 'Surveys and Questionnaires', ""Women's Health""]"
36,"[-0.01153595  0.03142391  0.19046327 -0.15977053 -0.10795781  0.06367223
  0.0707804   0.00169967 -0.5214749  -0.01733416  0.2995546   0.05388412
 -0.1373161  -0.10998555 -0.10281014 -0.13618267  0.13476042  0.08648816
 -0.40149254  0.30769     0.0629409  -0.04650115 -0.1850522   0.27048355
  0.24722062  0.3837539   0.01339957  0.31376675  0.23140275 -0.300267  ]",10.1038/mp.2014.181,[]
37,"[ 0.12588738  0.2426983   0.24365701 -0.26923615 -0.1554778   0.27615047
  0.47085527  0.24815367 -1.0018907   0.04803727  0.48243615  0.12353803
 -0.32040226 -0.3298776  -0.35366127 -0.3462473   0.21831234 -0.13814366
 -0.7499089   0.41411436  0.2954248  -0.14284156 -0.1321174   0.38760218
  0.3352196   0.8927785   0.19520846  0.35871303  0.22952005 -0.525994  ]",10.1186/s13046-015-0147-4,"['Antineoplastic Agents', 'Cell Hypoxia', 'Cell Line, Tumor', 'Cell Proliferation', 'Deoxyglucose', 'Dose-Response Relationship, Drug', 'Female', 'Genes, Reporter', 'Glucose', 'Humans', 'Hypoxia-Inducible Factor 1, alpha Subunit', 'Imidazoles', 'Lactic Acid', 'Ovarian Neoplasms', 'Pancreatic Neoplasms', 'Poly(ADP-ribose) Polymerases', 'Pyridines', 'Transcription, Genetic', 'p38 Mitogen-Activated Protein Kinases']"
